,Function,Original Comment,Predicted comment
280,private void set font size int s int size index for size index 0 size index size box get item count size index if integer size box get item at size index int value font size break size box set selected index size index ,change the font size , set the width of the character to the specified value
281,public void set text string text this text text update size ,sets the string value , sets the text text for the line
282,public command get ara if ara null gen end 15 getter 0 15 pre init insert pre init code here ara new command ara command ok 1 gen line 15 getter 1 15 post init insert post init code here gen begin 15 getter 2 return ara ,returns an initiliazed instance of component , returns an initiliazed instance of alert component
283,public route management get route management return m route management ,gets the route management , gets the value of the route instance property
284,public void draw outline canvas g2 category plot plot rectangle2 d data area plot draw outline g2 data area ,draws an outline for the data area , draws the plot background the background background for the plot
285,public order data bean complete order integer order id boolean two phase throw new unsupported operation exception trade action complete order method not supported ,complete the order by order id orders are submitted through jms , creates a new instance of the given order to be added to
286,public mopersistent bean descriptor get bean descriptor class clazz return beans factory get beans descriptor clazz ,getter for bean descriptor , creates a new adapter for an object of class
287,public point get wfs coordinate return wfs coordinate ,get center coordinate of the wfs server , returns the area as 1
288,public a monitor information panel get information panel return information panel ,returns the interface which handles the information panel , gets the panel
289,public hash bucket int initial capacity float load factor super initial capacity load factor ,calls method in super class , creates a new code multiple matcher code object using the provided method that
290,public int get compare style ends with return compare style ends with ,gets the compare style ends with value for this query constants , returns the compare style with compare values in compare
291,public void set google translate url url google url this google translate url google url ,google api url to translate a text , set the url url
292,public int get default text width return dbsettings default grid font fm get text width 1234 ,return the preferred text width , get the width of the text for the specified text
293,public result set get workflow instances from job status string workflow id string runtime id throws exception return select sqlget workflow instances from job status workflow id runtime id ,a workflow real osszes peldanyat adja vissza , workflow a workflow with a repository repository osszes
294,public string get object factory location return object factory location ,gets the value of the object factory location property , gets the value of the java object property
295,public string get game password return game password ,gets the game password , gets the value of the password property
296,public void set server coordinator jid string m server coordinator jid this m server coordinator jid m server coordinator jid ,sets the jid of the mobilis server coordinator , sets the mobilis server jid
297,public void set google key string google key if google key null google key length 0 this google key null else this google key google key ,the unique google key for the client , sets the key value for the key code key code
298,public string get artifact id return artifact id ,gets the value of the artifact id property , gets the value of the id property
299,public void receive message string msg if dialog is visible show show message user msg constants recv set scroll pos to end ,intended to be invoked by controller when a chat message is from , handles message about a given message
300,public basic stroke get default route stroke return m default route stroke ,gets the default route stroke , gets the value of the stroke from property
301,public boolean has permissions to work item stat work item work item string wi queue work item get queue string wi type work item get wi type if this is associated with queue wi queue set string wi types wi type permissions get wi queue if wi types null for string type wi types if type equals wi type return true return false ,returns true if this agent has access to wi , checks if a given item exists
302,public integer get non accepted wis count return non accepted wis count ,gets the value of the non accepted wis count property , gets the value of the agents count property
303,public void set boolean object array boolean boolean object array this boolean object array boolean object array ,setter for property boolean object array , sets whether the given value is to a range value for this
304,private void clear vertical panel artist table get widget 6 0 clear flex table media table flex table albums table get widget 3 0 media table clear flex table video table flex table albums table get widget 4 0 video table clear ,clear displayer ui , clears the last view position
305,public string get current key return tree util get key get selection path ,gets the current dot separated key representation , returns the preference key for the key of the editor
306,protected boolean import resources list file system objects studio resource import operation operation new studio resource import operation get container full path get source directory file system structure provider instance this file system objects operation set context get shell return execute import operation operation ,import the resources with extensions as specified by the user , import the resources with extensions as specified by the user
307,public void remove table model listener table model listener l listeners remove l ,implementation of table model , remove a listener from the set
308,public void set partnership partnership partnership this partnership partnership ,setter for property partnership , setter for property advertisement
309,public void fire group remove completed msn group group for msn contact list listener listener contact list listeners listener group remove completed this group ,notify the listeners about the completion of a group removal , notify the listeners about the completion of a contact addition
310,public void set search word string search word if search word null if this get search word equals search word trim this set startwert 0 this search word search word trim if filter search word equals this search array this do search word filter search word else this search word ,sets the search string , set the width of the search for the specified search br
311,protected void init vars instances data super init vars data m kernel new double data num instances ,initializes variables etc , init the initialization of the frame
312,public void set base paint paint paint boolean notify this base paint paint ,sets the base paint and if requested sends a , sets the base paint for the axis and sends a
313,public void do list action request request action response response throws portlet exception string workflow request get parameter workflow request set attribute jsp mainjsp ,concrete workflow list , this method is used to execute the conceptual vector of a group
314,public int get new route id int id 1 for int r id m area routes key set if r id id id r id return id 1 ,gets the new route id , gets the new user id
315,public string get tab html int index if index get tab count return null widget widget vertical panel panel get widget index 1 get widget 0 if widget instanceof html return html widget get html else return label widget get text ,gets the specified tabs html , get the selected header
316,public integer get is default return this is default ,gets the is default of this basetype , getter for property is used
317,private void init message history get a cursor to all messages to the user msg cursor get content resolver query message items content uri null null null message items default sort order start to manage the cursor start cursor msg cursor set up a to handle the history messages adapter adapter new adapter this android r layout simple list item 2 msg cursor new string message items body message items sender new int android r id text1 android r id text2 lv msg history set adapter adapter ,inits the message history to display old messages , method that initializes the dialog
318,protected void add owning instance property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui slot owning instance feature non nls 1 get string ui property descriptor description ui slot owning instance feature ui slot type non nls 1 non nls 2 non nls 3 umlpackage literals slot owning instance true false true null null new string org eclipse ui views properties expert non nls 1 ,this adds a property descriptor for the owning instance feature , this adds a property descriptor for the at this class feature
319,private void build common mistakes common mistakes common mistakes get common mistakes ,get the common mistakes array stored in common mistakes , function to get the stored in the tree
320,public void add question dnsquestion rec throws ioexception message output stream record new message output stream 512 this record write question rec byte byte array record to byte array if byte array length this available space questions add rec questions bytes write byte array 0 byte array length else throw new ioexception message full ,add a question to the message , add a line to a line line that can be used to
321,public void close if db connection null try db connection close system out println db connection close n disconnected catch sqlexception ex system err println db connection close system err println failed to close connection to the database system err println t sqlexception ex get message system err println t ex get system err println t vendor error ex get error code close ,close the connection to the database , close the server
322,protected void add value property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui slot value feature non nls 1 get string ui property descriptor description ui slot value feature ui slot type non nls 1 non nls 2 non nls 3 umlpackage literals slot value true false true null null new string org eclipse ui views properties expert non nls 1 ,this adds a property descriptor for the value feature , this adds a property descriptor for the value feature
323,protected void add object property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui read is classified object action object feature non nls 1 get string ui property descriptor description ui read is classified object action object feature ui read is classified object action type non nls 1 non nls 2 non nls 3 umlpackage literals read is classified object action object true false true null null new string org eclipse ui views properties expert non nls 1 ,this adds a property descriptor for the object feature , this adds a property descriptor for the result feature
324,private void create combo medium grid data grid data1 new grid data grid data1 width hint 250 grid data1 grab excess horizontal space false combo medium new combo s shell swt none combo medium set layout data grid data1 ,this method initializes combo medium , this method initializes this
325,public void set operand ocl expression operand this operand operand ,setter for property operand , sets the marker
326,public void set blog image id integer blog image id this blog image id blog image id ,sets the blog image id of this blog to the specified value , sets the blog category id of this blog to the specified value
327,public int get translation maximum length return translation maximum length ,get the maximum length of the original source text , get the maximum size of the message
328,public void test validation throws exception court policy policy start open efm get court policy internal lxml filing filing get internal lxml filing validation fault policy validate filing filing assert not null assert zero length ,perform a single positive test of the validation method , test the b set response method
329,public void test get headers throws introspection exception system out println test get name mail exporter exporter new mail exporter new contact assert equals address1 address2 country email fax first name id contact last name mobile name note position postal code state address title work phone exporter get headers ,test method for , test of get method of class org
330,protected bandwidth output stream output stream out int chunksize boolean cumulative boolean start super out chunksize cumulative true start offset 0 sw new stopwatch init false reset false ,creates a bandwidth output stream that performs of call interrupts , creates a new line output stream
331,public void show menu start server boolean option this start server set enabled option ,toggles the menu item server , displays the status of the user start to active
332,public string get tag name return knowledge base ,get the name of the associated tag element , returns the name of the collection
333,public voice menu info array create voice menu info array return new voice menu info array ,create an instance of , create an instance of
334,protected boolean process authinfo generic throws messaging exception return false ,process authinfo generic , process sasl type
335,public void on start itest context context suffix system get property suffix if suffix null suffix suffix trim output dir context get output directory file separator context get name suffix xml try system set out new my output tmp tmp txt 1 catch file not found exception e try system set err new my output tmp tmp txt 2 catch file not found exception e ,invoked after the test class is instantiated and before any configuration , start the game
336,public int width int character load return get character set orientation width character ,get the width in 1 1000ths of a point size of the character , obtain the width of the character for the specified point size
337,public void set available agents count integer value this available agents count value ,sets the value of the available agents count property , sets the value of the agents count property
338,private void generate lookup methods final bean definition bean definition final element builder builder if bean definition instanceof abstract bean definition abstract bean definition def abstract bean definition bean definition method overrides overrides def get method overrides suppress warnings unchecked set method override overrides set overrides get overrides for method override override overrides set generate method override override builder ,generates lookup methods for given bean definition , method that creates the strings about planets to write into the hdd
339,private string check cast to context expression expr if expr null is valid type expr if expr instanceof cast expression cast expression cast expr cast expression expr expression cast arg cast expr get expression if cast arg instanceof method invocation method invocation invocation method invocation cast arg if is lookup method invocation invocation string name get lookup argument invocation return name else return null return null ,checks that expression is cast object returned by code javax , this method checks the value of the specified parameter location
340,public void user logged out event handler user logged out event args args this send args get message if this get login equals args get message get player login controller unsubscribe events this this communicator close ,handles the user logged out event , handles the user user
341,public void set header table map table header table table ,sets the headertable for this source , set the table table for table
342,public string get record message return record message ,gets the value of the record message property , gets the value of the message destination message property
343,public int index of tab string title return tab index of tab title ,returns the index of a channel in the tabs , get the index of a given index
344,public boolean get stem down this will force it to be computed if it isn t already get screen hotspot return stem down ,if there is a logical placement tag and its vertical value is below , return the clear references for this context
345,protected boolean less big integer value1 big integer value2 return value1 compare to value2 0 ,returns true if the first value is less than the second value false , returns true if the two values are equal or false otherwise
346,public void set target drtn hr cnt big decimal value this target drtn hr cnt value ,setter for column target drtn hr cnt , sets the value of the get number of result property
347,public string get wmspath return wmspath ,auto generated getter of , get the code java code class code
348,public string to string logger debug in to string for classname string buffer sb new string buffer sb append status code if string utils is not empty get status code get status sb append get status code get status sb append n sb append status message if string utils is not empty get error message sb append get error message sb append n if this request null sb append request this request get resource ref to string n return sb to string ,returns a string representation of the error , convert the object into the printable output
349,public void test completed throws exception ,test of the business process completed , test of error method of class
350,public string get data as string throws not type of data exception if data type string return utf8 encoding to string data throw new not type of data exception data type ,returns the data as a string if it is of type string , returns the value of the given message as string
351,public void attack log into db try to connect or attack a website every 15 seconds ,licensed under the apache license version 2 , display the given and throw a new result
352,public option type create option type return new option type ,create an instance of , create an instance of
353,private color color c color r color get c if r null r new color put c r 16 return r ,the index for a true color , returns the color of the given color
354,public void init perform initializations inherited from our superclass super init perform application initialization that must complete before managed components are initialized editor fold defaultstate collapsed desc managed component initialization initialize automatically managed components note this logic should not be modified try init catch exception e log fundraising plan initialization failure e throw e instanceof faces exception faces exception e new faces exception e editor fold perform application initialization that must complete after managed components are initialized fundraising get session bean1 get fundraising data provider get session bean1 get fundraising plan data provider ,p callback method that is called whenever a page is navigated to , p callback method that is called whenever a page is navigated to
355,public map get header table return header table ,returns the header table of the jdxsource , return the table table for all the header
356,public boolean add native element arg0 throw new unsupported operation exception ,modification of the collection is not supported , modification of the collection is not supported
357,public string get random first name random rand return first names get rand next int first names size ,returns a random first name , returns the random name
358,public date get start date return m date ,returns the time date of the time card entry , gets the value of the date time property
359,public void create repository directory try this create directory this repository dir catch exception e e print stack trace ,creates the repository directory , creates a new page entry with the given document id
360,public listener type create listener type return new listener type ,create an instance of , create an instance of
361,public void set interface string value this interface value ,sets the value of the interface property , sets the value of the default type property
362,public boolean is workflow with this graf string graf name boolean ret new boolean false if ret boolean value concrete workflow list parsing enumeration workflows elements while has more elements if workflow data next element get graf equals graf name ret new boolean true if ret boolean value template workflow list parsing enumeration template workflows elements while has more elements if workflow data next element get graf equals graf name ret new boolean true return ret ,returns if from the given workflows are , returns true if the given type is a collection type or not
363,public void set legend shape int series shape shape this legend shape set shape series shape ,sets the shape used for the legend item for the specified series and , sets the item label paint for the plot and sends a
364,protected void add value property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui literal string value feature non nls 1 get string ui property descriptor description ui literal string value feature ui literal string type non nls 1 non nls 2 non nls 3 umlpackage literals literal string value true false false item property descriptor generic value image null null ,this adds a property descriptor for the value feature , this adds a property descriptor for the value feature
365,public double get max allowed weight return this precision long2 double this max allowed weight ,the max weight limit used to detect conflicts , returns the maximum length of a given maximum maximum value
366,public boolean is empty k key list v list get key return list null list is empty ,returns code true code if the list mapped to the specified key is , returns true if the given element is a removed
367,protected multiple matchable matchable m1 matchable m2 this new matchable m1 m2 ,creates a new code multiple matchable code object using the two provided , creates a new code multiple matcher code object using the provided provided code
368,protected void populate object t object editor populate object object ,populates values from the dialog to the object , indicates whether the given object is currently to the same
369,private string convert pattern for whole word search string pattern prepared return whole word prefix pattern prepared whole word suffix ,append whole word markers , this method is invoked by the string and its number of attributes
370,public void set opener string opener this opener opener ,sets the opener , sets the player
371,public void stop get an exclusive lock try state lock write lock try state null state retransmitter reset req tbl clear up tbl clear addr null revoke the exclusive lock finally state lock write unlock catch rwlock int exception ex trace error total stop ex get message ,handle the stop method travelling down the stack , this method is used to connect to the server
372,public void set country country country this country player country ,method that writes the country where the player lives in the attribute , sets the code entity code value
373,public void test write double round throws ioexception w write new double 89 7 2 assert equals b to string ,this test used to fail since integer part was rounded , test the accessors in class
374,private object get first input type mapping list classes iterator e classes iterator while e has next class c class e next object mapping f input type mapping get c get name if mapping null return mapping return null ,returns the configuration elements for the first class in the list , returns the first preference value from the document
375,public adapter create clear association action adapter return null ,creates a new adapter for an object of class , creates a new adapter for an object of class
376,public void set show drop shadow boolean show show drop shadow show repaint ,sets whether a drop shadow should be shown around the text , sets the panel
377,public int get status return i status ,gets the status of the job , get the status of the main frame
378,public void set label font font font if font null throw new illegal argument exception null font argument this label font font ,sets the label font and sends a , sets the font for the axis label and sends an
379,public void refresh quser session context try synchronized context string c session id context get session id context get session context c session id catch exception e if log is error enabled log error can t refresh quser session context e ,refreshes the user session context from au c , method that can be called from another applet or from javascript
380,private jbutton get min fps button if min fps button null min fps button new jbutton min fps button set text minimum min fps button set mnemonic m min fps button set displayed mnemonic index 0 min fps button add action listener event handler return min fps button ,return the min fps button , this method initializes j button
381,public boolean store vector lexie string source boolean result true for int i 0 i size i get i set source source if this store lexical type lexie get i result false return result ,this function permits to store or update all of a lexical item , this is a function to do the specified to get the attributes
382,public higconstraints xwh int x int w int h this x x anchor rltb this w w this h h return this ,sets column index target area width and height , sets row and column index width height and anchors
383,public object get tenant return tenant ,get identifier of an object that requests the lease , return the code declaration code of the code method code
384,public pattern get external path return external path ,gets the value of the external path property , gets the value of the path property
385,public annotation preference get annotation preference fragment string annotation type map fragments get preference fragments return annotation preference fragments get annotation type ,returns the annotation preference fragment defined for the given , returns the annotation preference for the given annotation
386,public m1 user get user string org name string user nick name try string query from m1 user impl u where u web user id user nick name and u organization nick name org name m1 user user m1 user em create query query set parameter org name org name set parameter user nick name user nick name get single result data initializer init user phones user return user catch no result exception e return null ,get user from db , get user by user
387,public string get prev navi int pages int java lang math ceil this anz search results this results per page if pages this results per page this anz search results pages 1 string link name this lang object get text for search previous int previous start this startwert this results per page string my string a href index jsp content this get view amp startwert previous start link name a if this maximum hits this anz search results this anz search results 0 return else if previous start 0 return link name else return my string ,get the previous button , get the current value of a string
388,public void test get title system out println get title news item instance new news item source string exp result string result instance get title assert equals exp result result ,test of get title method of class news item , test of get row method of class news item
389,protected void clear pattern from choice pattern pattern get pattern if pattern null xml object base get xml object get store remove element new qname http geronimo apache org xml ns naming 1 2 pattern 0 fire property change pattern pattern null ,should be called to remove any pattern child element if the pattern is , remove the given type from the given pattern pattern
390,private image icon read image icon string filename return file utils load icon filename ,looks up and answers an icon for the specified filename suffix , creates a new document
391,public void set end number string value this end number value ,sets the value of the number property , sets the value of the number number property
392,public integer get bps count string org throws bpmanager exception try int count 0 if org null count bprocess x find all size else count bprocess x find by org name org size return new integer count catch exception e throw new bpmanager exception could not get bps count e e ,get count of all bps in the system , get the distance from a specific client
393,public void touch k k cache line k v cl super get k if cl null cl get key system out println i just touch cl get class ,added by , this is a time in the output stream
394,public void info string channel string msg system out println msg logger log level info msg ,log a message object with the i info i level , log a message object with the i warn i level
395,public void update vote bean vote throws data access layer exception super save or update vote ,updates the state of a detached event , updates the state of a detached event
396,public final point get screen hotspot if screen hotspot null return screen hotspot debug very preliminary should take into account the width of this and the previous shape etc screen hotspot new final point find left positioned x get parent time slice get screen hotspot y return screen hotspot ,get the hotspot for this object in screen coordinates , returns the spectrum as a rsp object
397,protected void initialize super initialize log file m log file get log file try to remove file try if m log file exists m log file delete catch exception e e print stack trace the line feed m line feed system get property line separator ,initializes the logger , initialize all directory for database
398,public string next date of birth year next int gaussian 20 month next int 12 1 date next int 28 1 sb new string buffer 10 sb append year sb append if month 10 sb append 0 sb append month sb append if date 10 sb append 0 sb append date return sb to string ,returns the next random date of birth , returns a new string that is a substring of the
399,public string to string return avg time value total time assigned total time assigned total time accepted total time accepted start time assigned start time assigned start time accepted start time accepted was assigned was assigned was accepted was accepted ,returns a string representation of avg time value , converts a string with a given string
400,private void stop service m gps proxy stop gps m mxa proxy disconnect log v tag tag stopped ,stop service and disconnect mxaproxy and unsubscribe gps updates , close the server
401,public void save timex files enumeration proj data throws exception this save timex file date handler get today timex file handler date format proj data save the currently existing activities to file this xml activities to file ,save files input vector with strings in the format hh mm text , saves the data into the file
402,private void set offset from center double center x double center y double offset x center x transform from screen get width 2 double offset y center y transform from screen get height 2 m offset set location offset x offset y m back buffer need update true set offset from center ,calculates and sets the new offset of the map , set the drawing color for the given dialog
403,public void set xpowered by string value this xpowered by value ,sets the value of the xpowered by property , sets the value of the java object property
404,public void clear all statistic send avg times queue name new agent avg value ,clear all statistic , clears the data
405,public void test login ,tests if login works , test of init of the business process
406,public void set message from string value this message from value ,sets the value of the message from property , sets the value of the message timestamp property
407,private void enable disable location sync location sync if enable location is checked meemi droid application engine start location sync meemi droid application prefs get location sync min else meemi droid application engine stop location sync ,this method check if the location sync need to be enable or , updates the current view in the view
408,static public object string to value string s if s equals return s if s equals ignore case true return boolean true if s equals ignore case false return boolean false if s equals ignore case null return jsonobject null if it might be a number return a string and leave conversion to the consumer return s ,try to convert a string into a number boolean or null , this method is used to convert a template value from a given stream
409,public boolean is size compatible int size switch this case any number return true case none return size 0 case none or one return size 1 case one or more return size 0 case single return size 1 case multiple return size 2 default return false ,whether the given selection size is compatible with this mode , test the b set available in bytes
410,public order data bean sell string user id integer holding id int order processing mode throws exception if log do action trace log trace trade action sell user id holding id new integer order processing mode order data bean order data order data trade sell user id holding id order processing mode if order data get order status equals ignore case cancelled after the purchase or sell of a stock update the stocks volume and price update quote price volume order data get symbol trade config get random price change factor order data get quantity return order data ,sell a stock holding and removed the holding for the given user , remove a new user
411,private boolean up set local address event event get an exclusive lock try state lock write lock try addr address event get arg revoke the exclusive lock finally state lock write unlock catch rwlock int exception ex trace error total ex get message return true ,set the address of this group member , called when the user supports the applet button is changed
412,public geometry remove repeated points geometry geometry if geometry is empty return geometry return edit geometry new coordinate operation public coordinate edit coordinate coordinates boolean linear ring may return the same coordinate array jon aquino return com jts geom coordinate arrays remove repeated points coordinates ,the input and output geometries may share some coordinate arrays , removes a dependency from a child to a parent
413,public void set enterprise beans openejb jar type enterprise beans value this enterprise beans value ,sets the value of the enterprise beans property , sets the value of the default environment property
414,private void set actions change btn set action change back btn set action back ,assign abstract actions to ui componenets , assign abstract actions to ui componenets
415,public void reuse tag handler synchronized this if current handlers length 1 handlers current handler return there is no need for other threads to wait for us to release handler release try instance manager destroy instance handler catch exception e log warn error processing pre destroy on tag instance of handler get class get name e ,adds the given tag handler to this tag handler pool unless this tag , removes the given object from the receiver
416,private void notify changed entity entity interface entity entity changed event event new entity changed event entity iterator listener iterator this entity changed listeners iterator while listener iterator has next entity changed listener listener entity changed listener listener iterator next listener entity changed event ,notifies all listeners for changed entities about a changed entity , notify the listeners about the completion of a contact comment
417,public void set partition by connectionrequestinfo empty type value this partition by connectionrequestinfo value ,sets the value of the partition by connectionrequestinfo property , sets the value of the get empresa by idresult property
418,public menu load menu domain domain string code string menu file application starter get instance get application configuration get menu config directory domain code xml return load file menu file ,load menu from default configuration file for domain and code , return the list of menu item
419,public void add historic data data if evt is daily double current data get close if previous 0 if ready data add make value current if data size period ready true generate indicator else data remove 0 data add make value current generate indicator previous current ,adds a new quote to the object , adds a new message to the queue
420,public void initialize iworkbench configurer configurer super initialize configurer configurer set save and restore true ,allow to save and restore layout and views , initializes the route list
421,public void set old matches match bean old matches this old matches old matches ,sets the old matches value for this player bean , setter for property fundraising instance
422,public boolean is primitive if long equals class return true if int equals class return true if char equals class return true if boolean equals class return true if double equals class return true if float equals class return true if byte equals class return true if short equals class return true return false ,retrieve whether the code class code defines a primitive class , checks if the given dependency is a range of this
423,public void clean shutdown client info message shutting down client s server socket do your clean up here close all connections client info message client s server socket stopped ,shuts down cleanly the server , shuts down the server
424,public boolean logout string uid string pass this out write comm head n this out write comm action comm logout n this out write comm uid uid n this out write comm pass pass n this out write n this out flush final map head read header final string status string head get comm status if status null this logged status false return false return status trim equals ignore case status ok ,logs out user from the server , delete the message from the database
425,private jbutton get ok button if ok button null ok button new jbutton ok button set preferred size new dimension 90 29 ok button set text ok ok button set enabled false ok button add action listener new java awt event action listener public void action performed java awt event action event e configuration new genome for parsing genome name text field get text genome file text field get text regex text field get text set visible false return ok button ,this method initializes ok button , this method initializes ok button
426,public void set start boolean value this start value ,sets the value of the property , set whether or not this connection is a connection to
427,public boolean is byte order mark return byte order mark ,shall a byte order mark be generated , checks if is alive
428,public void set cur person person p save cur person cur person p display cur person if parent null if p null parent set title p to string else parent set title new person ,change the person being displayed , set the regular expression that defines the files and if it is being
429,protected int x double x w return int math round scale x w offset x border left ,returns the x view of a given x value in world coordinates , returns the x coordinate of a given point in coordinates
430,public iresource get navigator resource return i resource ,returns the contained navigator resource , return the resource path
431,protected int get last line return f last line ,returns the current line of activity , gets the line size of the line
432,public void set current round int round this current round round ,sets the current round , sets the round
433,public output stream get output stream if output stream null return output stream output stream new buffered output stream new text area output stream text area return output stream ,get an output stream where the write operations will append to the , return the output stream for the specified type
434,public long get content written return output buffer get content written ,return the number of bytes the application has actually written to the , get the last byte
435,public void reset log debug resetting combat position new position 0 0 support fire combat progressed combat ,resets the combat , resets the spectrum to the first position
436,public void update info property table table object object int row table get selected row int column table get selected column update model table object table set model model model fire table data changed table change selection row column false false table set column constraints ,called when the property table should be with more current information , updates the data table for a given key
437,public void set sender address address throws messaging exception set header sender address ,set the sender header , set the address from which the server will be included
438,public descriptor get property by name string property name for descriptor property descriptor properties if property descriptor get name equals property name return property descriptor return null ,finds a property by name , returns the property with the given name
439,public object get transfer data data flavor df data source ds throws unsupported flavor exception ioexception return equals df get content ds null ,retrieve the transfer data from the data source but , get a data from the database
440,public date get date k k cache line k v cl super get k if cl null return cl get date else return null ,returns the timestamp last accessed time of the record with specified , returns the index of a given index
441,private string get replace string if ok to use f replace field return f replace field get text return non nls 1 ,retrieves the replacement string from the appropriate text input field and returns it , returns the current parameter type
442,public void update upload slots int used int total string buffer str new string buffer str append used upload slots append used append append total upload slots text str to string if download slots text null lbl set text download slots text upload slots text ,update the upload slots information label , updates the last data data
443,protected string check length int num if num 10 return 0 num else return num ,check length of the number , returns the first number of available in the string
444,public void set enabled ruler column descriptor descriptor boolean enabled assert is legal descriptor null string id descriptor get id string preference f store get string f key set marked string set serializer deserialize preference boolean should mark enabled descriptor get default enablement boolean is marked marked contains id if is marked should mark if should mark marked add id else marked remove id f store set value f key string set serializer serialize marked ,sets the enablement state of the given ruler contribution , sets the preference value for the given key
445,public detail get test case int id test home th new test home detail ret val th find detail by id id if ret val null logger warn test case with id id not found in the database return ret val ,find test case by id , gets the last size of a target
446,public string get tss name return tss name ,gets the value of the tss name property , gets the value of the tss name property
447,public collection siblings of person p hash set siblings new hash set collection parents collection parent of get p hash set all parents new hash set for iterator i parents iterator i has next collection collection marriages get person i next for iterator ms iterator ms has next marriage m marriage ms next if m is divorced all parents add all m get people all parents add all parents for iterator i all parents iterator i has next siblings add all collection child of get person i next siblings remove p return siblings ,returns all siblings of a person including half and step , returns a copy of this person
448,public void set string addr type string value this string addr type value ,sets the value of the string addr type property , sets the value of the type type property
