,Function,Original Comment,Predicted comment
304,public instance checker instance checker ic this incl ic incl this classes ic classes ,creates an instance checker using the same data as another instance checker , creates a new instance of an object
305,public void build command if program null program equals command null command equals command program ,builds the command to be executed , builds the command
306,protected map get map internal return attributes ,returns the wrapped modifiable map implementation , returns the map map map
307,protected void tear down m lockable impl null ,tears down the text fixture , method that can be called from another applet or from javascript
308,protected void init file string full filename throws file not found exception file file new file full filename if file exists throw new file not found exception full filename does not exist ,ensures a directory exists , initializes the file
309,private void add parent category subtotal row string buffer sb map subtotal map sb append tr td strong subtotal strong td for int i 0 i subtotal map size i long val long subtotal map get new integer i long value sb append td align right strong get currency str val null strong td sb append td nbsp td sb append tr ,parent category with subtotals row for parent category , add a new child model to the list of currently selected
310,public boolean select tab int index if index 0 index 13 return false rs unknown true rs unknown boolean2 true rs tab id index return true ,selects a tab by index , this method is called when a new item is selected
311,public list chunk get list chunk string type for int c 0 c sub chunks size c chunk chunk sub chunks get c if chunk instanceof list chunk list chunk list chunk list chunk chunk if type equals list chunk get type return list chunk return null ,get the list chunk with the given type , returns the list of all of the given search in the
312,public void set price double value entity set price value ,setter for price , sets the value of the other property
313,public tags clone with id integer id tags tags tags clone tags id id return tags ,returns a copy of this tags with id , returns a copy of this tags with id
314,public string get copyright holder id return this copyright holder id ,returns the copyright holder id property value , gets the value of the id alumno property
315,private result set select sql workflow data string portal id string user id string throws exception string sql select w id w name w txt from aworkflow as aw workflow as w where aw id w id aworkflow and aw id portal and aw id user and w name prepared statement prepared statement workflow data connection prepare statement sql prepared statement workflow data set string 1 portal id prepared statement workflow data set string 2 user id prepared statement workflow data set string 3 return prepared statement workflow data execute query ,a workflow adatait adja vissza , create a new device record from the database
316,public void set points map integer long points this points points ,sets the points , sets the value of the coordinate to property
317,public boolean is xqname attr name xqname element name if id refs vector contains element name to string attr name to string return true else return false ,checks whether an attribute is an attribute based on dtd information , returns true if the given element with the given name is an
318,public int get int int parameter index throws sqlexception try return java sql callable statement m stmt get int parameter index catch sqlexception e throw m conn wrap e ,gets the value of a jdbc integer parameter as an int in the , whats the maximum number of bytes in a select list
319,protected void fire set text string url synchronized browser listeners for browser listener l browser listeners l on set text url ,request to set text in , sends a message to the client
320,public boolean add railway ticket if mrx railway ticket return true else return false ,this method returns an true if the player is mr , this method is only here
321,public matrix get inertial2 body return q ,return the rotation matrix to the body frame , get the velocity of the velocity
322,protected transform3 d create default orientation transform3 d trans new transform3 d trans set identity trans rot y math pi 4 trans set translation new vector3f 0f 0f 0 f return trans ,override to set a different initial transformation , returns an initiliazed instance of ref an instance of this code null code
323,private void init base view view group group for iterator iter group get view iterator iter has next table view child view table view iter next if child view get state 0 main panel get instance hide from menu child view get name if child view get base view null tree item ex view item new tree item ex child view get name tree item ex tree custom view false child view get base view view item set user object group root add item view item add blank table child view ,add child group to tree , method that can be called from another applet or from javascript
324,public float get field as float int tag int index return get field tag get as float index ,returns the value of a particular index of a given tag as a , returns the value of a index of a given tag as a
325,public void set ranking id int ranking id this ranking id ranking id ,sets the ranking id of this users to the specified value , sets the forum category id of this blog to the specified value
326,public void remove header string header int index 1 for int 0 request header names size string u string request header names get if u to lower case equals header to lower case index break if index 0 return request header names remove index request header values remove index ,removes a header from the request header table , remove a header from the database
327,public boolean nulls are sorted at start throws sqlexception try return m meta data nulls are sorted at start catch sqlexception e throw m conn wrap e ,are null values sorted at the regardless of sort , are null values sorted at the
328,public string get servlet info return servlet description ,returns a short description of the servlet , returns the servlet class
329,public boolean get more results throws sqlexception try if m close after use throw new illegal state exception unable to get more results from statement when in close after use mode return m stmt get more results catch sqlexception e throw m conn wrap e ,moves to a statement objects next result , returns whether the result is a number of statement
330,private boolean install view view new view vector new view get members if trace trace trace info client gms impl install view new view new view if gms local addr null null contains gms local addr trace error client gms impl install view i gms local addr am not member of will not install view return false gms install view new view gms become participant gms pass up new event event become server gms pass down new event event become server return true ,called by join , this is called by the edge is modified to be displayed
331,private jbutton get cancel button if cancel button null cancel button new jbutton cancel button set text resource get string cancel cancel button set preferred size new dimension 90 29 cancel button add action listener new java awt event action listener public void action performed java awt event action event e this dialog set visible false return cancel button ,this method initializes cancel button , this method initializes cancel button
332,public void set client node string client node client node client node ,sets the client node , sets the root node of this service
333,public void add attribute for search basic attribute attribute list basic attributes basic attributes attributes map get attribute get id if basic attributes null basic attributes new array list basic attributes attributes map put attribute get id basic attributes try basic attributes add new basic attributes attribute get id attribute get catch javax naming naming exception e throw new runtime exception exception in add attribute for search e ,adds a basic attribute for searches , add a new attribute set attribute for the map
334,public boolean is power int n if n 0 return false return n n 1 0 ,returns true if n is a power of 2 , returns true if the first value is less than the second
335,public void test deploy bp with bad bdd and bpx throws exception bad deploy common config bp with bad bdd and pbx file name ,test of deploying of the simple business process with bad bdd and bpx , test of the business process start with illegal argument
336,public string get tss link return tss link ,gets the value of the tss link property , gets the value of the link link property
337,protected void transfer property string prefix object bean if prefix null for iterator string iter get property names iter has next string pkey iter next if pkey starts with prefix string key pkey substring prefix length 1 object value get property pkey introspection utils set property bean key value to string ,transfer properties from cluster configuration to bean , handle the default values for any values
338,public void end visit list literal node default implementation do nothing ,of visit the given type specific ast node , sets the current node
339,public void set auto deploy boolean value this auto deploy value ,sets the value of the auto deploy property , sets the value of the default generator property
340,public void set tsia big decimal t tsia t ,sets the t , sets the flag that do not use
341,public boolean reconnect try connect querier user login author name password catch exception e return false return true ,try to reconnect to server , can be overridden by subclasses to use the application attributes
342,public void start throws exception time scheduler timer super start timer stack null stack timer null if timer null throw new exception stable start timer is null sched timer we use only asynchronous method invocations if corr null corr set deadlock detection false initialize start gossip ,the layer , start the thread thread for thread thread
343,public boolean has moved return has moved ,checks if the , returns whether the code is true code has been not
344,private element get root element string xml text throws aps system exception builder new builder set validation false string reader reader new string reader xml text element root null try document doc builder build reader root doc get root element catch throwable t aps system utils get logger severe error parsing xml t get message throw new aps system exception error parsing xml t return root ,returns the xml element from a given text , find the first element of the input stream
345,public port completion create port completion return new port completion ,create an instance of , create an instance of
346,protected boolean column exists string table name string proposed column name data query query session manager get session retrieve query com arsdigita persistence get oracle column names query add equals filter table name table name to upper case query add equals filter column name proposed column name to upper case return query size 0 ,this method returns a boolean indicating whether the database table , this method is used to implement for a table table
347,public boolean has next boolean retval this has next this has next false return retval ,returns true if there is an object next false otherwise , checks if the next element is in the next valid
348,public string to string if root null return b tree not initialized else return root to string ,prints the root of the tree as a string , returns a string representation of this object
349,public void test get row map throws celeritas exception system out println get row map dbhelper init string sql select test pk test field1 from test table hash map row dbhelper get row map sql assert not null row get test pk assert equals row size 2 ,test of get row map method of dbhelper , test of get columns method of class org
350,private void update text width string max string format format new object new float new float max text width get font metrics get font string width max string 4 ,recalculates the width needed to display the heap size string , update the text text field for a new text
351,public void remove game player xhunt player player game players remove player get jid ,removes a game player , removes the player
352,public boolean is advanced search return advanced search ,the advanced search change the result of refresh list , returns true if this search file is in the
353,public int size return f history null 0 f history size ,returns the size of the history , returns the number of the elements that is in the
354,private ijscproject get jscproject itext editor editor get text editor if editor null return null iparse unit cu jscplugin get default get working copy manager get working copy editor get editor input if cu null return null return cu get jscproject ,returns the code code of the current editor input or , returns the list of options in the dialog
355,protected boolean load plugin string plugin name load register the plugin plugin adapter plugin null try plugin this obj plugin mgr load plugin plugin name catch exception e we caught an exception the plugin shouldn t exist or the parameter pass had a very bad name plugin null return plugin null ,loads the specified plugin , check if the given file was exists in the current file
356,public generic java class plugin get java plugin return this plugin ,returns the java plugin object , returns the class type of this class
357,public collection get valid parent categories category root linked list results new linked list data query query session manager get session retrieve query com arsdigita categorization valid parents try query set parameter root id root get id query set parameter id get id apply filter query valid parent while query next category c new category data object query get valid parent c set filter m category filter c set preferred order get preferred order results add c finally query close return results ,returns a collection of categories that represent , returns the collection of parties that are not have
358,public long get count of value byte value throw new runtime exception stub ,cfindex cfbag get count of value cfbag ref the bag const void value , cfindex get number of int type int type
359,public string buffer to string buffer return new string buffer super to string ,returns a string buffer representing the to string function of the class implementation , returns a string representation of the object
360,public double start time int index finite burn burn this get index return burn tstart ,returns the time of the burn , returns the time of the measurement
361,protected void deregister string sso id session session synchronized reverse reverse remove session single sign on entry sso lookup sso id if sso null return sso remove session session see if we are the last session if so away sso id session sessions sso find sessions if sessions null sessions length 0 synchronized cache cache remove sso id ,deregister the specified session , connect to a given id
362,public void set display font string font name display font font name ,sets the font name , sets the font font name
363,public boolean store vector lexie string source boolean result true for int i 0 i size i get i set source source if this store lexical type lexie get i result false return result ,this function permits to store or update all of a lexical item , checks whether the given unit is valid
364,public void from vo efsp efsp throws model exception set name efsp get name set username efsp get username set password efsp get password set callback uri efsp get callback uri set contact efsp get contact set email efsp get email set phone efsp get phone set notes efsp get notes ,set all my values from the given value object , this method is used to implement for request name
365,public void add operation with block object block throw new runtime exception stub ,void add operation with block void void block , void add objects with a target object void void set
366,public collection find candidate candidate info candidate if candidate null throw new system exception candidate was passed as null to method collection null session session thread properties get session session create query from interview interview where interview person id and interview voided f order by interview date start set long 0 candidate get person get id long value list return ,find all for a candidate , retrieves all the first reference that is a list of all
367,private void uninstall semantic highlighting if f semantic manager null f semantic manager uninstall f semantic manager null ,uninstall semantic highlighting , installs the receiver on the code viewer code
368,private jmenu item create menu item string text char mnemonic return new jmenu item text mnemonic ,create a simple menu item with the given text and mnemonic , create and return a new item
369,public ja get action string action name return ja component action get action name ,method to get components action corresponding to the given string , get the action action name
370,public void set start min int start min throws invalid format exception if min minute start min start min max minute this start min start min else throw new invalid format exception this start min start min ,s tter starttidens minutdel , set the start start of the start
371,public playing card remove top card if size 0 return null return remove top cards 1 get 0 ,remove the top card from the deck , this method is only here for convenience
372,public boolean can replace return true ,return true if alter is supported , checks whether a user is a valid
373,public void add change listener change listener l m model add change listener l ,add a change listener to the model , adds a change listener
374,private void check marker updaters imarker marker list to be deleted new array list for int i 0 i f marker updater specifications size i iconfiguration element spec iconfiguration element f marker updater specifications get i string marker type spec get attribute marker type non nls 1 if marker type null marker utilities is marker type marker marker type to be deleted add spec imarker updater updater create marker updater spec if updater null add marker updater updater for int i 0 i to be deleted size i f marker updater specifications remove to be deleted get i ,checks whether a marker updater is registered for the type of the , checks if the given annotation is already included
375,protected void forward to login page request request http servlet response response request dispatcher disp request get request dispatcher login page try disable client cache response disp forward request get request response response flush buffer catch throwable t logger warn unexpected error forwarding to login page t ,called to forward to the login page , called when the request is being loaded to be called if
376,public int token index address token token return tokens index of token ,retrieve the index of a particular token in the stream , returns the token token from the next token in the
377,public boolean add all int index collection extends job info c boolean modified jobs add all index 1 jobs size index c if modified fire jobs changed c to array new job info c size job manager event type add index return modified ,insert the given jobs at the given index in this manager , adds a new element at the specified index in this array
378,protected string get phrase string code locale locale return core service locator get phrase provider get message code locale ,returns the locale specific phrase for the passed code , returns the variable indicatd by the method name
379,public size2 d arrange canvas g2 rectangle constraint constraint size2 d result new size2 d fetch legend items if this items is empty return result block container container this wrapper if container null container this items rectangle constraint c to content constraint constraint size2 d size container arrange g2 c result height calculate total height size height result width calculate total width size width return result ,arranges the contents of the block within the given constraints and , returns the contents of the given block
380,public string get name return tables ,get the generally accepted name for this entity type , returns the name of this command
381,public void reconnect if get state filebox connected disconnect new connection listener public void disconnected service discovery service discovery connect null public void connected service discovery service discovery ,disconnect and re connect , p called when the task is running
382,protected void check connected throws messaging exception if socket null socket is connected throw new messaging exception no connection ,verify that we have a good connection before , check if the message is a valid
383,public entity panel get entity panel return entity panel ,get the entity panel that owns this launch button , get the selected panel
384,public void set attitude transform3 d quat object set transform quat object ,set body attitude , sets the value of the seat hours to property
385,public int get current thread count if executor null if executor instanceof thread pool executor return thread pool executor executor get pool size else if executor instanceof resizable executor return resizable executor executor get pool size else return 1 else return 2 ,return the amount of threads that are managed by the pool , returns the number of request that have been found
386,public remove request create remove request return new remove request ,create an instance of , create an instance of
387,public void set state byte new state node new root null object obj if new state null trace info replicated tree set state new cache is null return try obj util object from byte buffer new state new root node node obj clone root new root notify all nodes created root catch throwable ex trace error replicated tree set state could not set cache ex ,set the cache tree to this value , sets the state of the node
388,public object get new object object context constraint t new constraint t set name constraint t set to object table context get name return t ,get a new java analogue of this entity type , get a new java analogue of this entity type
389,public boolean send discovery request return send iq new mobilis service discovery bean settings get instance get loc pairs namespace null settings get instance get mobilis address xmppbean type get ,send service discovery request , send an update operation
390,public void resign first responder common view view layer back while view get superview null view view get superview resign first responder for view hierarchy layer back ,under android it is sufficient to hide the keyboard for the top level , this method is called when the current location is displayed in the
391,public void update if url null initialize return end of if try long checked at new date get time http urlconnection connection http urlconnection url open connection long last modified connection get last modified if last modified 0 has changed last modified last checked last changed last modified last checked checked at end of if catch ioexception e this initialize return end of try catch ,describe code update code method here , update the resource with the given name
392,protected void initialize collection adapters hub tasks container get component adapters object comp array adapters to array new object adapters size component adapters new hash map for int i 0 i comp array length i component adapters put component adapter comp array i get component key comp array i ,initializes the client task object factory by creating the component , initialize the container
393,public void set service max version int service max version this service max version service max version ,sets the service max version , sets the value of the version number property
394,protected void add realizing connector property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui information flow realizing connector feature non nls 1 get string ui property descriptor description ui information flow realizing connector feature ui information flow type non nls 1 non nls 2 non nls 3 umlpackage literals information flow realizing connector true false true null null null ,this adds a property descriptor for the realizing connector feature , this adds a property descriptor for the redefined value feature
395,public field get field int index try return fields index catch exception e vm debug field index out of bounds return null ,return the field of index index , returns the field of the given column
396,public void test related object versioned tst object master new versioned tst object init versioned tst object master master save v0 versioned tst object related new versioned tst object init different versioned tst object related related save r0 master set related related master save assert txn count master 2 assert txn count related 1 versioned tst object master get related assert equals related delete assert true master get related null related roll back to r0 assert equals related master get related related roll forward assert true master get related null more here ,test the aggregate related object , test of the business process start with two argument
397,private boolean is lookup method invocation method invocation invocation if invocation get name get identifier equals lookup method name expression expr invocation get expression if is valid type expr return true return false ,checks is it lookup method or not , checks whether a method is a configuration method
398,public double code noise double noise code meas noise normal 0 0 code meas sigma return noise ,return the measurement noise in the pseudorange measurement , return the current time in the vector
399,private string get encoding itext editor editor ieditor input input editor get editor input if input instanceof ifile editor input ifile file ifile editor input input get file try string explicit encoding explicit encoding file get charset false if explicit encoding null return null catch core exception e continue assume file is not using default encoding iencoding support s get encoding support if s null return s get encoding return null ,returns the encoding currently used in the given editor , returns the content of the given input
400,public int get max transmitters return 1 ,this device supports unlimited transmitters , gets the value of the max number of property
401,public string get random first name random rand return first names get rand next int first names size ,returns a random first name , returns a random orders name element element
402,public boolean is complete indexable this is just a to make sure that the complete indexable is set if the value is true it has to be set already if complete indexable get index schema 1 return complete indexable ,checks if the is complete indexable , returns whether the given node is a
403,protected void fire focus lost focus event e synchronized browser listeners for browser listener l browser listeners l focus lost e ,invoked when browser gains the keyboard focus , notify the listeners about the selection of a selection selection
404,private void create combo medium grid data grid data1 new grid data grid data1 width hint 250 grid data1 grab excess horizontal space false combo medium new combo s shell swt none combo medium set layout data grid data1 ,this method initializes combo medium , this method initializes database
405,public void set foreign key foreign key fk javax swing list model m get model if m instanceof dblist model f key fk ,specify a foreign key , key that the given key is set
406,private boolean is duplicate name string name if f existing names null for int i 0 i f existing names length i if name equals f existing names i return true return false ,returns whether the name is already in use by an existing vm , checks whether the given name is a valid
407,private void handle dialog close remove listeners if ok to use f find field f find field remove modify listener f find modify listener if f parent shell null f parent shell remove shell listener f activation listener f parent shell null get shell remove shell listener f activation listener store current settings in case of re open store settings if f target null f target instanceof ifind replace target extension ifind replace target extension f target end session prevent leaks f active shell null f target null ,removes focus changed listener from browser and stores settings for re open , opens the dialog dialog
408,public boolean is keyword string keyword return this keyword equals keyword ,test if an untagged response is of a given , is this to a string using the protocol is secure
409,public string get wmspath return wmspath ,auto generated getter of , method that return the code of the technology
410,protected void set up form new form test form create form http request new http servlet dummy request page new page page add form ,sets up the test fixture , sets the form object used to create the form
411,protected double acos double a return math acos a ,returns anticosine of argument , returns the acceleration
412,private string restricted user agents null public string get restricted user agents return restricted user agents ,user agents regular expressions which should be restricted to http 1 , return the code principal code for the current position in
413,public void remove watched resource string name synchronized watched resources make sure this watched resource is currently present int n 1 for int i 0 i watched resources length i if watched resources i equals name n i break if n 0 return remove the specified watched resource int j 0 string results new string watched resources length 1 for int i 0 i watched resources length i if i n results j watched resources i watched resources results fire container event remove watched resource name ,remove the specified watched resource name from the list associated , remove any resource reference with the specified name
414,public boolean get report success return report success ,returns whether the transport will include an smtpaddress succeeded exception , return the current template
415,public void set user to string value this user to value ,sets the value of the user to property , sets the value of the get subject property
416,protected flow execution key get next key flow execution execution if always generate new next key composite flow execution key current key composite flow execution key execution get key integer current snapshot id integer current key get snapshot id return new composite flow execution key current key get execution id next snapshot id current snapshot id else return execution get key ,gets the next key to assign to the flow execution , returns the map map with the given key
417,private annotation preference get vertical ruler annotation preference string preference key if preference key null return null iterator e f annotation preferences get annotation preferences iterator while e has next annotation preference info annotation preference e next if info null preference key equals info get vertical ruler preference key return info return null ,returns the annotation preference for which the given , returns the annotation preference for the given annotation
418,public void set current state string state id flow session impl session if started session get active session internal else session activate session flow started true state state session get flow get state instance state id session set current state state ,jump to a state of the currently active flow , sets the current state of the flow execution
419,private xhunt player get my player todo xhunt map activity get my player can be null return m game get player by jid m mxa proxy get xmpp jid ,gets the own player object , gets the player
420,public boolean is new return m form factory is new ,indicates if this questionnaire has been saved or not , returns true if the form is empty
421,public notehead shape shape int staff step rational duration tags tags super tags shape shape staff step staff step duration duration ,creates a new notehead with the given parameters , returns the blog of this view
422,private void create result name grid data grid data1 new grid data grid data1 grab excess horizontal space true grid data1 vertical alignment grid data center grid data1 horizontal alignment grid data fill result name new combo this swt read only swt drop down result name set layout data grid data1 ,this method initializes result name , this method initializes database
423,public void abort job p job handler get i remove job p job get id string path base get i get job directory p job get id cleanup job p job error log path outputs n aborted by user p job set status activity state enumeration cancelled ,aborts the job , move the given job to the given job
424,public task collection get workflow templates return new task collection get workflow templates association ,get all workflow templates registered to the content section , returns the current selection of the user
425,public string get header string name if name null throw new illegal argument exception null name was passed in iterator name value pair it headers iterator while it has next name value pair header it next if header get name equals ignore case name return header get value return null ,returns the value for the header with the given name , returns the header header with the specified name if any
426,public void activate super activate model element get model add property change listener this ,this method does these , refresh the current page
427,public string get description return triggers ,get a description for this entity type , get the description of this entity
428,protected void set mime type options single select mime select mime select add option new option text html html text mime select set option selected text html ,adds the options for the mime type select widget of , set the default value for the document
429,public void start document we don t care we have defaults ,unused for our purposes , start the thread
430,public string path get link string path throw new runtime exception stub ,cfstring ref scpreferences path get link scpreferences ref prefs cfstring ref path , cfstring ref path path get path path resource ref path cfstring ref path
431,public map committed values for keys list keys throw new runtime exception stub ,nsdictionary committed values for keys nsarray keys , nsdictionary keys for keys nsarray keys
432,public string pop message if m stack empty string result string m stack pop s cat info end result return result else s cat warn trying to pop a message when the stack is empty in com arsdigita persistence session new throwable return null ,this allows developers , returns a message representation of this object
433,public driver panel cache get cache return new driver panel cache ,returns the current panel values , removes a panel with the specified name
434,public boolean increments are done return true ,see parent interface , indicates whether this is a false
435,public msn object get msn object this last accessed time calendar get instance get time in millis return msn object ,get the instance of the msn object for this removable object , retrieves the msn object avatar for the contact
436,public int hash code is this a hash i just made it up int current classes hash code if incl current 37 return current ,generates a hash code for this instance checker , returns the hash code of this object
437,public ozone lxml filing manager impl get ozone object manager throws exception ozone lxml filing manager impl manager new ozone lxml filing manager impl return manager ,return an ozone implemented object manager , return the internal lxml filing object for this configuration
438,public void set value string key string value data put key value ,sets the value of a key , sets the value of the key property
439,public void fatal error string a text system err println bit fatal error a text system exit 1 ,prints fatal error message and exits the program , print an error to the stack
440,public boolean is all all input and output with all runtime id in all workflow type graf real abst return download type equals ignore case all ,checks the type of the downloading method , check if the given workflow is workflow
441,public void set method resolver method resolver method resolver this method resolver method resolver ,set the strategy used to resolve action execution method names , sets the method value of the method declaration
442,public set get bindings return bindings ,returns the set of bindings associated with this binding configuration , gets the value of the thread handler property
443,public static class util private static organization service async instance public static organization service async get instance if instance null instance organization service async gwt create organization service class service def target target service def target instance target set service entry point gwt get module base url organization service return instance ,utility class for simplifing access to the instance of async service , utility class for simplifing access to the instance of async service
444,public void add error string error get parameter data page state get page state add error error ,adds an error to be displayed with this parameter , add a new error to the set
445,public void set html output file html output this html output html output ,optional if supplied an html report will be generated to this location , sets the input stream
446,public void remove player player player this players remove player get player id ,removes the player , removes the player
447,public boolean exists final vfspath uri final string revision return false ,this method is not yet implemented for but exposed in order , check if a given string is a valid
448,public boolean is disconnected return m data object is disconnected ,returns true if the encapsulated data object has been disconnected from , returns true if this persistent object has been deleted from
449,protected void start flow mutable attribute map input external context context throws flow execution exception flow execution get flow execution factory create flow execution get flow definition flow execution start input context if flow execution has ended flow execution outcome flow execution get outcome ,the flow execution to be tested , start the flow execution to be flow to flow execution
450,public void person selected person p jinternal frame frames desktop get all frames for int i 0 i frames length i if frames i instanceof person frame person frame pf person frame frames i person panel pp pf get person panel if pp get cur person equals p pf move to front return didn t already exist so create one person frame pf new person frame this p family desktop add pf pf move to front ,reflect the fact that a new person has been selected in a view , called after the item has been selected
451,public void insert after lltoken token throws mxquery exception token set next this get next this get next set prev token token set prev this this set next token ,inserts the passed token after code this code into the token list , inserts the token at code index code of a new token
452,protected void make and show toast final string text final int length run on ui thread new runnable override public void run toast make text get application context text length show ,convenience method for a toast to the user , displays the appropriate text text for a given text
453,public void set check string c check c ,set a check constraint , set the status of a given entity object
454,public timestamp get early end date return this early end date ,getter for column early date , getter for column target
455,protected void add redefined connector property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui connector redefined connector feature non nls 1 get string ui property descriptor description ui connector redefined connector feature ui connector type non nls 1 non nls 2 non nls 3 umlpackage literals connector redefined connector true false true null null null ,this adds a property descriptor for the redefined connector feature , this adds a property descriptor for the redefined value feature
456,public void only show component page state state component c if c null return component child iterator iter children while iter has next child component iter next child set visible state child equals c ,sets the visibility of all child components to false except , action action selection
457,public void after last m current row index m rows length ,moves to after last , moves the given row to the current position in the collection
458,public boolean is interrupted boolean result false synchronized this result interrupted return result ,returns a code boolean code indicating whether the receiver has a , checks if this field is a valid
459,public void shutdown executor service shutdown if single thread factory single thread null boolean interrupted false while true try single thread factory single thread join single thread factory single thread null break catch interrupted exception e keep waiting interrupted true if interrupted set interruption status so that the caller may react to it thread current thread interrupt ,stops the dedicated thread and waits for its death , this method is called when the instance is created
460,public void set minor tick mark inside length float length this minor tick mark inside length length ,sets the inside length of the minor tick marks and sends an , sets the value of the tick length property
461,public void remove panel component component remove panel get panel index component ,removes panel with specified component , removes a panel from the panel
462,private double get last ema return string symbol ema quote last ema quote last ema quotes get symbol if last ema quote null return get ema return return last ema quote get ema return ,gets the last ema return , return the last last time in the collection
463,protected void do rename object object get selected object string old name get administration get name object string new name joption pane show input dialog null new name old name if new name null new name trim length 0 do rename object new name ,override to handle rename button action , override to handle the object object with the given name
464,public void set definition flow flow this definition flow ,set the flow associated with this flow session , sets the flow execution context
465,public void set current user principal current user this current user current user ,sets the current user principal , sets the current user
466,private work pressure find work pressure string queue name work pressure pressure work pressures get queue name if pressure null pressure new work pressure queue name work pressures put queue name pressure return pressure ,finds work by queue name , returns a collection of all of the given objects in
467,protected void add entry property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui state entry feature non nls 1 get string ui property descriptor description ui state entry feature ui state type non nls 1 non nls 2 non nls 3 umlpackage literals state entry true false true null null new string org eclipse ui views properties expert non nls 1 ,this adds a property descriptor for the entry feature , this adds a property descriptor for the extension feature
468,protected string get action name iaction action return action helper get action name action ,returns the name of action , returns the name of the action
469,public void on agent list org starpound events dashboard responses agent list event wait for agent list event if log is debug enabled log debug agent list is filled add agents update init stat ,gets agent list when dash board up , get the active state of the download thread
470,private child iterator get child iterator xdmiterator expr if expr instanceof child iterator return child iterator expr else return null ,returns a child iterator if expr is a child iterator otherwise null , returns the parent category of a given node
471,private void flush buffer throws ioexception if count 0 append new string buf 0 count count 0 ,flush the internal buffer , writes the number of data to the output stream
