,Function,Original Comment,Predicted comment
1609,public double norm1 int i loop control double dbl sum running sum dbl sum 0 0 for i 0 i 6 i dbl sum math abs this get elem i return dbl sum ,return the l1 norm of the vectors b phase components b , compute the mean of the mean
1610,protected void add required property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui component required feature non nls 1 get string ui property descriptor description ui component required feature ui component type non nls 1 non nls 2 non nls 3 umlpackage literals component required false false false null null new string org eclipse ui views properties expert non nls 1 ,this adds a property descriptor for the required feature , this adds a property descriptor for the is feature
1611,public boolean find and select i18n string name i18n then look for another object stel object obj search by name i18n name i18n if obj null return false else return select object obj ,find and select an object from its translated name , check if there is a jdbc database at a given name
1612,public lattice get lattice return lattice ,returns the lattice , gets the value of the transaction property
1613,public void create field editors add field new directory field editor preference constants path flex directory get field editor parent ,creates the field editors , this method initializes scrolled composite
1614,public cdouble block double block db super db columns db rows db slices db width db height db depth db world unit name call protected constructor properties put new string voxel type new string double allocate an array to hold the data data new double columns rows slices copy the data int i max total voxels int n 0 for int i 0 i i max i set n db double value i if debug flag system out println cdouble block cdouble block cdouble block set boolean block materials of incoming cdouble block materials db materials ,copy construct a cdouble block from a double block , perform a block of this block
1615,public iterator get dependencies return get dependencies internal iterator ,retrieves the task dependencies , returns the container
1616,public void shutdown scheduler stop timer ,called on shutdown , starts the timer
1617,public void remove connection listener connection listener listener message center remove target listener this connection listener class ,remove a listener of connection changes , remove the listener from receiving connection listener events
1618,public ejb local ref create ejb local ref return new ejb local ref ,create an instance of , create an instance of
1619,public void add value number value comparable row key comparable column key this data add value value row key column key ,adds a value to the table , adds a value to the value of the first row
1620,protected int get dx return dx ,get the highlight x coordinate offset , gets the value of the activation property
1621,public boolean moved through clouds fot map hexmap m if null get second move fot map weather cloudy m get weather at get second move return true else if null get first move fot map weather cloudy m get weather at get first move return true return false ,tests whether this tf starts moves through or ends its movement in a , checks if there are any move
1622,public object get scale bar return s bar ,returns the graphic representation of the requested scale bar , returns the title of the chart
1623,public void handle take value object value string key throw new runtime exception stub ,void handle take value id value for key nsstring key , void value value nsstring value nsstring key
1624,public entity tree get right tree return this right tree ,gets the right tree , returns the root node of this node
1625,public int matched from int i if marks null i num subs return 1 integer in integer marks get left i return in null 1 in int value return marks i ,obtains the position backreference number i begins to match or , returns the number of bytes in the first
1626,public boolean contains value1 var box val return ren1 contains value val ,tests whether the first renaming contains a var box as a value , returns true if the first value is empty
1627,public void update final browser browser if project null if configured true set disabled reason ant not configured for this project set configured false set enabled false configured false else if configured false configured true set configured true if is enabled if is node running set enabled false else if is node running set enabled true ,enable or not this action based upon the current state of the browser , enable or not this action based upon the current state of the
1628,public void test tester t make the tolerance too low t set tolerance 0 t check expect t same pt2 d dist to0 100 0 false distance to 0 double low tolerance ,test the comparisons for inexact numbers of the types , tests that the test is not equal to the same
1629,public string read file contents string path file name string contents string line buffered reader in file try in file new buffered reader new file reader path file name while line in file read line null contents contents concat line n in file close catch ioexception e system out println file contents contents path path file name return contents ,read the contents of a file , read a file in the file
1630,protected string find library string libname resource handle md get library handle libname if md null return null url url md get url if file equals url get protocol return null return new file uri create url to string get path ,returns the absolute path name of a native library , returns the url of the given file
1631,public void set value mfrotation values rots new sfrotation values rots length for int i 0 i values rots length i rots i new sfrotation values rots i rot route ,sets the value attribute of the mfrotation object , sets the value attribute of the scan2 d object
1632,public string to string if is empty return string date is approximation if month 0 date month if day 0 date day date year return date ,code to string code creates a very specific string for this date , returns a string representation of this object
1633,public void set mapping type int type throw new runtime exception stub ,void set mapping type nsentity mapping type type , void set type type type type
1634,public feature collection get return this feature data set ,the feature collection is a wrapper for other feature collections , gets the value of the get property
1635,private jcheck box get mechatron check box if mechatron check box null mechatron check box new jcheck box mechatron check box set text mechatronik mt mechatron check box set location 300 40 mechatron check box set size 210 20 return mechatron check box ,this method initializes j check box9 , this method initializes j check box
1636,public void annotation changed annotation change event event fire change event ,receives notification of a change to an , event indicating that the optimizer settings have changed
1637,public void set retention string value this retention value ,sets the value of the retention property , sets the value of the other property
1638,public void set begin buy note java lang string begin buy note this begin buy note begin buy note ,sets the begin buy note value for this good , sets the value of the scan2 d object
1639,public void notify sub lworker data available sub lworker event event ,this event is fired when new data becomes available in , notify all listeners that a trial has been added
1640,public void testing gesture state clear gestures vector change system state global sys test gesture ,testing gesture state , called when the user is modified to the current state
1641,public void ejb remove m user home null ,uninitialize a user facade bean , removes an existing user from the cache
1642,protected void add package merge property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui package package merge feature non nls 1 get string ui property descriptor description ui package package merge feature ui package type non nls 1 non nls 2 non nls 3 umlpackage literals package package merge true false true null null new string org eclipse ui views properties expert non nls 1 ,this adds a property descriptor for the package merge feature , this adds a property descriptor for the package feature
1643,public string positive format throw new runtime exception stub ,nsstring positive format , cfstring ref nsstring string
1644,public string to string return get name with current value get value ,provides a string representation of the control , returns a string representation of this object
1645,public object get object if type type single return this object 0 return null ,getter for the object property , returns the object type
1646,public int get maintenance maximum number string entity name if entity name null throw new illegal argument exception name is null int result 0 iterator maintenance entity i maintenance entities iterator while i has next maintenance entity entity i next if entity name equals ignore case entity name result entity max number return result ,gets the maximum number of this part needed by a maintenance entity , returns the number of columns in the current query
1647,private void remove all pvs my document stop all monitors pv remove all pv repaint pv list clear get plot panel remove all graph data my document cam null ,remove all the pv panels , removes all the series from the given graph
1648,private color color c color r color get c if r null r new color put c r 16 return r ,the index for a true color , returns the color color
1649,private jbutton get jbutton close if j button close null j button close new jbutton j button close set preferred size new dimension 100 25 translator get instance register component j button close new text id to field mapping standard field name text task manager 63 j button close add action listener new java awt event action listener public void action performed java awt event action event e get jframe dispatch event new window event get jframe window event window closing return j button close ,this method initializes j button close , this method initializes j button
1650,public void set service locator sforce service locator service locator this service locator service locator ,sets value of service locator proprty to specified value , set the target service
1651,protected stylesheet find stylesheet site node request context rctx return find stylesheet rctx get site node rctx get locale rctx get output type ,returns a stylesheet for the current request context searching , returns the parent of the given configuration
1652,public void refresh list actions not completed communication controller com ctl new communication controller a list clear a list add all com ctl get actions not completed ,refresh the list from the database with the selected contact , refresh the current screen
1653,public object third if size 2 throw new runtime exception third element not available return this get 2 ,returns the third element of the tt cyc list tt , returns the number of the first token
1654,public void channel closed this channel null ,notifies this handler that the channel has been closed , indicates that a connection to the specified channel has been dropped
1655,public void quote char int ch if ch 0 ch ctype length ctype ch ct quote ,specifies that matching pairs of this character string , this method is used to read the next token
1656,public void set alpha int alpha default style set alpha alpha for iterator i attribute value to basic style map values iterator i has next basic style style basic style i next style set alpha alpha ,call this method after calling set attribute value to basic style map rather , sets the outline stroke
1657,public void set submission status id long submission status id this submission status id submission status id ,updates the submission status id with the specified value , sets the value of the id property
1658,public void ejb remove m lxml filing home null ,uninitialize an lxml filing facade bean , removes the given element from the list
1659,public string get id service return this id service ,return id service , returns the id of the session
1660,public void dec int value wip decrement and get if value 0 lock lock try cond signal all finally lock unlock else if value 0 throw new illegal state exception broken wip port value ,decrement the work in progress counter and signal if it reached zero , calculates the value of the player
1661,public void propagate iprobe probe double pos throws model exception ialgorithm alg algorithm for the probe alg probe get algorithm if alg instanceof tracker tracker tracker tracker alg system out println tracker set elem position to pos tracker set elem position pos alg propagate probe this ,p override of , compute the centroid of the probe
1662,public int get top edge return top edge ,return the top edge of the shape which is the minimum y coordinate , gets the top style of this person
1663,public void set label final string label this user object label ,set the label , sets the label text for this label
1664,public int get return id capacidad ,gets the value of the id capacidad property , gets the value of the id property
1665,public void clear ant ant null ,clear the ant , clear the application
1666,private void log filter chain string filename for int i 0 i replacefilters size i replacefilter filter replacefilter replacefilters get i log replacing in filename filter get token filter get replace value project msg verbose ,logs the chain of filters to operate on the file , this method will log for severity level info
1667,public boolean inc match string st str pos sp new str pos this int i for i 0 i st length i if sp match st char at i return false sp inc dup sp return true ,increment the string pointer by each character in , check if a string is a string
1668,public weapon get weapon int idx return weapon super my weapons get idx ,get a particular weapon , get the protocol
1669,protected void update size if get text null try if get character set null set size get text get bytes get character set get name length else set size get text get bytes length catch unsupported encoding exception e context get current logger log level warning unable to update size e set size unknown size else set size unknown size ,updates the expected size according to the current string value , update the width of the given row
1670,public void clear resource property cache throw new runtime exception stub ,void cfurlclear resource property cache cfurlref url , void remove property id
1671,private void fetch image types final connection connection throws database exception try final statement statement connection create statement final result set result statement execute query select from logbook image type connection commit while result next long id result get long image type id string extension result get string file extension binary types put extension new binary type id extension catch sqlexception exception throw new database exception exception while fetching the image types database adaptor exception ,fetch the available image types , this method initializes j scroll connection
1672,public void edit item page state s content item item content section sec get content section s string node url url get dispatcher path sec get path string target content item page get item url node url item get id content item page authoring tab throw new redirect signal target true ,forward to the item editing ui , this method is called when the item is modified to the
1673,public string get type return normal interpolator ,gets the type attribute of the normal interpolator object , gets the type attribute of the scan2 d object
1674,public double get sigma z return math sqrt compute cov zz ,compute and return the standard deviation of the i z i phase variable , returns the mean of the vector
1675,public object destroy request context context return context get view scope remove name ,destroy this view variable , this method is called by the servlet
1676,public acsobject create acsobject throws servlet exception content type type get content type content item item content item super create acsobject if type null item set content type type return item ,a utility function which creates a new item , create a new instance of the type of the content type
1677,public void set max post size integer value this max post size value ,sets the value of the max post size property , sets the value of the max size property
1678,public voice get voice return voice dev ,get the associated voice resource , gets the value of the get milliseconds property
1679,public integer get classfied id return this classfied id ,gets the classfied id of this classifieds , gets the id id of this classifieds
1680,public void set zoom index int z zoom index math max 0 math min z zoom level count 1 select radar dot limit offsets compute viewport ,set the zoom index , sets the index of the first index of the given index
1681,protected object try parse nested property via introspection mapping meta data metadata string class name element element string local name get local name element property descriptor descriptor get property descriptor class name local name if descriptor null return parse nested property via introspection metadata element descriptor get name descriptor get property type else return parse nested property via introspection metadata element local name object class ,attempts to use introspection to parse the nested property element , this method returns a string corresponding to the specified value
1682,protected void write attributes throws java io ioexception named node map attribute map root node get attributes if attribute map null return int num attributes attribute map get length for int index 0 index num attributes index attr attribute attr attribute map item index string name attribute get name string value attribute get value writer write name escaped value value ,write xml node attributes within the opening tag , write the xml xml stream to the xml stream
1683,public void set active boolean a this active a ,tell the listener to stop listening as soon , set the state of the current state
1684,public void set teams hash map integer team teams this teams teams ,sets the , set the rule
1685,public double get mag field return m dbl field ,get the magnetic field strength of the electromagnet , returns the magnetic field attribute of the scan2 d object
1686,public void set repeat enabled boolean repeat enabled ,sets repeat ui state , sets the state of the state
1687,public void show dialog center dialog show ,shows chat dialog , show the window window
1688,public void test get monthly commission charge throws exception float value 1 0f instance set monthly commission charge value assert equals value instance get monthly commission charge ,test for the getter of the property monthly commission charge , test for the getter of the property amount of
1689,public boolean contains key object key return hash table contains key key ,tests if the specified object is a key in this strong hashtable , returns code true code if the specified key is a key
1690,public void set bounds rectangle r rect set bounds r ,set the bounds , sets the rectangle
1691,public void set has attachments final boolean p attachments has attachments p attachments ,set the field rcyc has attachments , sets the flag that determines whether or not the player has been
1692,public void skip next throws ioexception if is next constructed int num decode constructed in peek tag while end of num skip next else match tag in peek tag false in skip long in decode length ,skips the next encoded asn , this method is called by the next token
1693,protected double perform mapped phase double time if get phase null throw new illegal argument exception task phase is null if treatment equals get phase return treatment phase time else return time ,performs the method mapped to the tasks current phase , performs the method mapped to the tasks current phase
1694,public string description with locale object locale int level throw new runtime exception stub ,nsstring description with locale id locale indent nsuinteger level , cfstring ref description is a string
1695,public void set principal principal type value this principal value ,sets the value of the principal property , sets the value of the ejb method
1696,private boolean playback ogg resource place res int volume throws ioexception input stream raf res open new try ogg music new ogg music thread current thread volume ogg music play ogg raf return true finally if raf null raf close ,plays back the given filename as an ogg audio file , checks if the given file is a same
1697,private void check connection status throws messaging exception if this is connected throw new messaging exception not connected ,check the status of our connection , check if the connection is connected to the server
1698,public void set submitted jobs long numberofjobs for int i 0 i overviewedstatuses size i if overviewedstatuses get i get statuscode equals status constants submitted overviewedstatuses get i set numberofinstances long to string numberofjobs ,sets the number of the error job instances , sets the number of the last job
1699,private void start logger entering class str start pdm new peer discovery manager net peer group gdm new group discovery manager net peer group create input pipe discover peers discover peer input construct output pipe connected to peer input send greeting message forward peer information to main application ,this routine is used to the communication handler processes that , starts the thread
1700,public token get int n int pos n id if token sequence get tokens size pos pos 0 return null return token sequence get tokens get pos ,gets the i n i th token after this one or null , returns the token token id
1701,private double n int iteration int i iteration 1000 if i learning speed list size 1 i learning speed list size 1 return learning speed list get i ,function returns learning coefficient it should be decreasing , returns the number of two numbers
1702,public void assign player other production cost other production cost research cost other research cost build cost other build cost repair cost other repair cost tax income other tax income trade income other trade income tax morale other tax morale ,assign a different instance values , this method is called by the same listener
1703,public review status get status return status ,returns the status , get the status of the status
1704,public void set rho double v this d rho v ,set the value of d , set the value of d
1705,public void commit xid transaction send message replication data commit transaction ,commits all modifications sent to the receivers via , called when a message is a message has been received
1706,public component create component text area text area new text area get parameter name copy values to widget text area if get component attribute cols null text area set cols get cols if get component attribute rows null text area set rows get rows return text area ,create the text area whose persistence is managed , creates a new text with the given text and text
1707,public attribute get value at int row no if row no 0 row no get row count return null return attribute rows element at row no ,returns attribute in given row , get the value at the specified row
1708,protected object get service class target for object service service loader load target return service return null ,load a single service using the service loader , returns the service
1709,public void show status string message todo ,sets the specified value to the status area for the applet , display a message
1710,public double calculate overall costs tco object object return get value get total costs object kind pc index total get value get total costs object kind fc index total add any dependency cost in supplier chain recursively get value calculate dependency object index total ,summarize total personal cost fact cost dependency cost in tree for , returns the mean of the specified object
1711,public void set available boolean available boolean old available this available this available available support fire property change available new boolean old available new boolean this available ,set the application available flag for this context , sets the current state of the player
1712,public int get life support capacity string building name return get value as integer building name functions life support capacity ,gets the number of the buildings life support can handle , gets the total number of building for the building
1713,public void print stack trace java io print stream s super print stack trace s s println root cause m root cause print stack trace s ,stack trace for the root cause , stack trace for the root cause
1714,public int get placement type feature feature throws filter evaluation exception int type type absolute if perpendicular offset null string string value perpendicular offset evaluate feature if string value equals center type type center else if string value equals above type type above else if string value equals below type type below else if string value equals auto type type auto return type ,returns the placement type one of the constants defined in , gets the type of a given type
1715,public object evaluate list arguments state state if arguments size 2 throw new behavior engine exception two arguments required arguments object key evaluate argument arguments get 0 state hashtable dictionary hashtable evaluate argument arguments get 1 state dictionary remove key return key ,evaluates the given arguments within the given state and returns the dictionary , returns the list of all elements in the queue
1716,public void toggle auto commit boolean new value if con null try set autocommit con set auto commit new value catch sqlexception ex if settings debugging logger get logger derby class get name log level severe null ex ,toggle autocommit on off , this is the entry point method
1717,public string print entry line date time new date super timestamp simple date format format new simple date format yyyy mm dd t hh mm ss sss string start super timestamp t format format time t new ieeeaddress super sender address as dotted hex t power t string line long mask long 0x ffffffff 16 0x ffff0000 for int i 0 i index i line line start new ieeeaddress super sender address mask addresses i as dotted hex t counts i n return line ,a string representation of this neighbor packet for writing records , returns a string representation of the object
1718,protected string to string quaternion quat if quat null return decimal format quat x decimal format quat y decimal format quat z decimal format quat w else return null ,convenience method for converting a quaternion to a string , returns a string representation of the object
1719,public boolean visit dictionary literal value pair node return true ,visits the given type specific ast node , description of the method
1720,public singlepool type create singlepool type return new singlepool type ,create an instance of , create an instance of
1721,private string get second token string input int input start input index of if input start 1 input input substring input start 1 input length int input end input index of if input end 1 input input substring 0 input end return input ,extract and return the second token is available , returns the token value corresponding to the given line
1722,private void disable used letters string used letters word mask get used letters for int i 0 i alphabet buttons length i string btn letter alphabet buttons i get text if used letters contains btn letter alphabet buttons i set enabled false else alphabet buttons i set enabled true ,mark used letter buttons as disabled , this method is called when the plug in the current transaction
1723,public string to string return new string ga color block columns x rows x slices voxels width x height x depth world unit name ,describe this block as a string , returns a string representation of this object
1724,public trial point get trial point return new trial point this ,get an immutable copy of this trial point , gets the trial
1725,public void remove all stop listeners stop listeners v clear ,removes all stop listeners , removes a series from the collection
1726,public void set connected ego boolean b if network null network set connected ego b ,set whether or not to append a connected ego to the graph object , set the current connection
1727,public void test get programs boolean found false system out println get programs list program result ctrl get programs assert not null result assert true must find at least the test entity result size 0 for program prog result if prog get id program test id found true break assert true cannot find the test entity found ,test of get method of class org , test of get conformance level method of class org
1728,public void set filter correlation filter new filter if new filter null filter correlation filter factory default filter else filter new filter ,set the correlation filter , sets the filter
1729,private void set memberships set membership memberships this memberships memberships set groups from this memberships ,used by hibernate to set an existing members when fetched , sets the current modified
1730,public void insert area object array for area object bounds array insert bounds ,inserts an array of objects into the tree , insert the given object into the current entity
1731,public int get pitch bend return pitch bend ,obtains the or pitch offset for this channel , gets the value of the sfcolor property
1732,protected void notify potentiometer started for int i 0 i potentiometer listeners size i jag potentiometer listener potentiometer listeners element at i rotation did start new jag potentiometer event this jag potentiometer event started get state distance get state distance sensor true ,notifies all code jag potentiometer listener code s that potentiometer , notify all listeners that the jag has a new
1733,public void configure open efmcontroller controller throws saxexception ioexception digester digester init digester controller digester parse source ,configure an object , close the application
1734,public int get number of methods return number of methods ,return the number of methods m , returns the number of the current number of the current number of
1735,private void initialize this set size 580 350 this set content pane get jcontent panel this set jmenu bar get jjmenu bar this set title ,this method initializes this , this method initializes this
1736,public url get callback location return m callback location ,return my callback url , gets the url
1737,public void insert connection connection null prepared statement prepared statement null try string query insert into liste bezirkskennung stimmenzahl values connection get connection prepared statement connection prepare statement query prepared statement set int 1 get landesliste get int prepared statement set int 2 get wahlbezirk get int prepared statement set int 3 get count prepared statement execute catch sqlexception e throw new runtime exception e finally try prepared statement close connection close catch sqlexception e ,insert an aggregated set of , insert a new connection into the database
1738,public void set air row imapair seat map rs seat map responses seat map response seat map details cabin configuration air row value this air row value ,sets the value of the air row property , sets the value of the row row property
1739,public boolean has response final corrector supply supply final bpm agent bpm agent return has response supply get id bpm agent get id ,determine if we have an entry for the corrector supply bpm pair , checks if there is a gps response
1740,static public int display confirm dialog final component owner final string title final string message java awt toolkit get default toolkit beep return joption pane show confirm dialog owner message title joption pane yes no option ,display a confirmation dialog with a title and message , display the dialog
1741,public string to string string format get meta descriptor get format meta descriptor always exists return format null format is empty to long string string format format object variables names ,returns a string representation of this function , returns a string representation of this object
1742,public image asset get image return article image association get domain object get image ,returns a code image code for the current position in , gets the image image
1743,public void set range gridlines visible boolean visible if this range gridlines visible visible this range gridlines visible visible ,sets the flag that controls whether or not grid lines are drawn against , sets the flag that controls whether or not the visible visible
1744,public void remove from run loop nsrun loop a run loop string mode ,removes the service from the given run loop for a given mode , removes a range from the stack
1745,public void set audio data byte new audio data audio data new audio data length of mini sample audio data length ,set the audio data with new data , set the data data at the specified index
1746,protected message builder create message builder return channel create message builder ,creates a message builder for a new message , create a new message
1747,public boolean validate schema input stream in msdl stream input stream in msdl schema stream boolean is valid false try schema factory schema factory schema factory new instance w3 c xml schema ns uri schema schema schema factory new schema new stream source in msdl schema stream validator validator schema new validator validator validate new stream source in msdl stream is valid true catch saxexception ex last validation error message ex get message catch exception ex ex print stack trace return is valid ,validate a msdl against the schema , creates a new input stream
1748,public db pspot lookup best db pspot by sample idx int idx sample lookup best db pspot by sample idx db pspot ps null for int i 0 i n spots i if idx sample list i idx sample ps spot list idx sample if ps code db lm sp ps code db lm pp break return ps lookup best db pspot by sample idx ,lookup best db pspot by sample idx find best db pspot from rspot , returns a list of all users in the current
1749,public void create sshell drugs details d s shell new shell swt application modal swt shell trim s shell set text nouveau s shell set layout new fill layout generated s shell set location new point 75 100 create scrolled composite s shell set size new point 237 this data d ,this method initializes s shell , this method initializes s shell
1750,private void add new bond int i int j atom set collection add new bond i j if is molecular return bs connected i set j bs connected j set i ,add the bond and mark it for processing , adds a new array to the list of already already already already
1751,private void print value string name console output output object value get variable name if value null output print no such variable true return class clazz value get class output print value to string true output print class output print clazz get name true ,print the specified variable , prints a string value
1752,public person get first person person person null if this persons size 0 person this persons get 0 return person ,retrieves the first person from the mapper result , gets the mission mission
1753,public payment status get status return status ,returns the status , get the status of the status
1754,private boolean accept final xmlevent event if config get no translate filters null return true for final translate start element filter filter config get no translate filters if filter accept event as start element return false return true ,is this a tag for which translation is disabled , check if there is a valid entry for the given
1755,public void set shape shape shape if shape null throw new illegal argument exception null shape argument this shape shape ,sets the shape for the legend item , sets the horizontal probe
1756,public void set parent id final integer p parent id parent id p parent id ,set the field rf parent id , sets the context id
1757,public void init object context throws javax xml rpc service exception servlet endpoint context soap context servlet endpoint context context servlet context servlet context soap context get servlet context database database servlet context get attribute database key if database null throw new javax xml rpc service exception database not found using attribute database key ,grabs the database from the servlet context with attribute org , this method initializes this
1758,public natural attribute manager get natural attribute manager return attributes ,returns a reference to the persons natural attribute manager , returns the value of the attribute
1759,public void set equator line boolean b equator line set flagshow b ,set flag for displaying equatorial line , sets the line line
1760,private string format contact details string name string cont det if there are no submitted return just blank if cont det null return format the stuff return name r n tel cont det 1 r n cont det 0 r n cont det 2 r n cont det 3 cont det 4 ,this method will format the to a nice readable output , returns a string representation of the object
1761,public void clear population 0 mean 0 mean square 0 ,clear the samples , clear all all elements
1762,public object read object throws ioexception if read boolean return null marshaller m null string name read utf object o marshaller registry get instance get unmarshaller name if o instanceof marshaller m marshaller o else try class clazz class for name name m marshaller clazz new instance catch exception e throw new ioexception don t know how to deserialize name return m unmarshall name this ,reads an object from code this code stream , read a value from the input stream
1763,protected void enter identifier token node throws parse exception ,called when entering a parse tree node , called when a parse tree is selected
1764,protected void gather variables variables new array list enumeration e formula cyc list visitor while true if e has more elements break object element e next element if element instanceof cyc variable variables contains element variables add element ,gathers the unique variables from the literals formula , this method is called by the same from the given list
1765,public gc grid coverage create from sub name string name string sub name throws remote exception return null ,create a new , creates a new instance of a given entity name
1766,private void write comma if comma buffer append ,prints a comma if needed , write out the contents of the output
1767,public void set website string value this website value ,sets the value of the website property , sets the value of the other property
1768,public void set actual position geo position actual position system out println name set actual position actual position to string this actual position actual position ,sets the actual position , sets the position of the position
1769,public marshallable get extension return extension ,the extension element is a container tag in which arbitrary vendor specific , returns the template for this configuration
1770,protected string get root index dir return root index dir ,returns the path to the search index , returns the root folder of the folder
1771,public basic file driver panel get shared open basic file driver panel return shared open basic file driver panel ,need to share the file chooser otherwise whenever the user switched , returns the document
1772,public void create part control composite parent viewer new table viewer parent swt multi swt h scroll swt v scroll viewer set content provider new view content provider viewer set label provider new view label provider viewer set sorter new name sorter viewer set input resources plugin get workspace get site get page add selection listener this make actions hook context menu hook double click action contribute to action bars ,this is a callback that will allow us , creates the controls for the current radio state
1773,public void set source values source source source ,sets the source attribute of the select screen page object , set the source source
1774,public query data set get za pn string qstr select from where app vl exec sql qstr vl rez set open return vl rez set ,gets the za pn attribute of the sg stuff object , returns the graph data attribute of the scan2 d object
1775,protected boolean char is valid char ch return ch 0 ch 9 ch ch ,checks whether a given character is valid , returns true if the first character is a character
1776,public void animate boolean option a set active option if option repaint ,startet stoppt die animation , this method is called when the user is modified
1777,public void set ejb relation name string value this ejb relation name value ,sets the value of the ejb relation name property , sets the value of the ejb name property
1778,public void add iterable extends uicomponent components for uicomponent c components c parent this this components add c sort components ,add an iterable set of components to this container , add a new member to the current set
1779,public document document return document for range 0 size 1 ,return a w3 c dom representing the entire result set , returns the xml document
1780,public boolean is live return get version equals live get live version null ,returns true if this item has a viewable version , returns true if the user is empty
1781,public void set write tiled boolean write tiled directory set is tiled write tiled is tiled write tiled ,if set the data will be written out in tiled format instead of , set the output data
1782,public void remove series xyseries series if series null throw new illegal argument exception null series argument if this data contains series series remove change listener this this data remove series fire dataset changed new dataset change info todo fill in real change details ,removes a series from the collection and sends a , removes a series from the collection and sends a
1783,public const field constify if const field null const field new const mfvec3d this return const field ,description of the method , description of the method
1784,public void set authority url authority url authority url this authority url clear if authority url null for int i 0 i authority url length i this authority url add authority url i ,sets the authority attribute of the identifier element , set the url url
1785,private void hide region message composite set visible false last message text null last message type imessage provider none ,hide the message region and clear out the caches , show the window
1786,public void destroy client if selenium client null try selenium client close catch exception e context get instance get result add error o browser n o foi inicializado n o h de no bot o selenium client stop selenium client null ,destroys client clicking in close button , prepare object for garbage collection
1787,public void test image alt image eyes new image http www arsdigita com graphics eyes 18a jpg eyes set alt the eyes test component eyes with alt ,test alt but using the set method , test of image method of class org
1788,protected void add goals property descriptor object object item property descriptors add create item property descriptor composeable adapter factory adapter factory get root adapter factory get resource locator get string ui connection goals feature get string ui property descriptor description ui connection goals feature ui connection type molic package literals connection goals false false false item property descriptor generic value image get string ui references property category null ,this adds a property descriptor for the goals feature , this adds a property descriptor for the result feature
1789,protected void validate return room param ,validate the array for return , this method initializes s
1790,public void set directory file directory if directory is directory directory can read throw new illegal argument exception cannot monitor directory directory get absolute path this directory directory ,warning changing the directory at runtime will cause all files in the , set the file path
1791,protected void set rx boolean high rx set high high ,sets the rx pin to a desired state , sets the flag that controls whether or not the x axis
1792,public void set field string field name field f if loader debug system out println adding field f to string id n with name field name n to script node this to string id f init this field spec field field f base name field name ,sets the field attribute of the script object , set the field to be used in the field
